Complexity,Loss,Equation
1,0.6171266,"0.0063508386"
2,0.13199463,"cos(x0)"
4,0.13188471,"(cos(x0) * 0.9851009)"
5,0.1318847,"(cos(x0) * cos(0.17234856))"
6,0.12854707,"(cos(x0) + (x0 * -0.0157249))"
7,0.0076723844,"(cos(x0) * (sin(x0) + 0.9851724))"
9,0.0075050364,"(cos(x0) * (sin(x0 * 1.0038328) + 0.9850605))"
12,0.007483354,"(cos(x0) * (sin(x0 * (0.17862031 + sin(0.97622883))) + 0.9850605))"
13,0.0074786367,"(cos(x0) * (sin(x0 * (sin(0.17862031) + sin(0.97622883))) + 0.9850605))"
15,0.0074465293,"(cos(x0) * (sin(x0) + cos(cos(x0 * (0.9713343 + x0)) * 0.290414)))"
17,0.007289191,"(cos(x0) * (sin(x0) + cos(cos((x0 * cos(sin(-2.2346))) * x0) * 0.28345796)))"
19,0.0072578904,"(cos(x0) * (sin(x0) + cos(cos(cos(sin((-0.49808773 * x0) * x0)) + cos(cos(x0))))))"
