Complexity,Loss,Equation
1,0.6171266,"0.0062899655"
3,0.61381525,"(-0.0009967288 * x0)"
4,0.13197316,"cos(-0.06264357 * x0)"
6,0.13184449,"(cos(-0.062744886 * x0) * 0.98332834)"
7,0.13184273,"(cos(sin(-0.062744886) * x0) * 0.98332834)"
9,0.06949421,"cos((-0.062454525 * x0) + cos(0.061492365 * x0))"
10,0.044674166,"cos((-0.062744886 * x0) + sin(cos(-0.06251283 * x0)))"
11,0.0074768495,"(cos(-0.06261696 * x0) * (0.9813761 + sin(0.06280287 * x0)))"
13,0.0074765254,"(cos(sin(0.06280287) * x0) * (cos(0.18192364) + sin(0.06286796 * x0)))"
14,0.0074676517,"(cos(0.06280287 * (x0 + -0.06331622)) * (cos(-0.1953399) + sin(0.06286796 * x0)))"
15,0.0074676154,"(cos(0.06280287 * (x0 + -0.05907544)) * (cos(sin(-0.1953399)) + sin(0.06286796 * x0)))"
16,0.007340401,"(cos(-0.06261696 * ((sin(x0) * -0.17304286) + x0)) * (0.9813761 + sin(0.06280287 * x0)))"
17,0.0073138615,"(cos(-0.06261696 * ((cos(sin(x0)) + -0.84232444) + x0)) * (0.9813761 + sin(0.06280287 * x0)))"
18,0.007313534,"(cos(-0.06261696 * (sin(cos(sin(x0)) + -0.84232444) + x0)) * (0.9813761 + sin(0.06280287 * x0)))"
19,0.0072024115,"(cos(0.06280287 * x0) * (cos(-0.33253568 * cos((-1.497564 * x0) + x0)) + sin(0.06280287 * x0)))"
20,0.007198694,"(cos(0.06280287 * x0) * (cos(sin(-0.33253568) * cos((-1.497564 * x0) + x0)) + sin(0.06280287 * x0)))"
