complexity,loss,score,equation,sympy_format,lambda_format
1,0.0655336,0.0,0.11169324,0.111693240000000,PySRFunction(X=>0.111693240000000)
5,0.06390396,0.006295414229592206,((-0.009605255 * x0) + 0.08869171),0.08869171 - 0.009605255*x0,PySRFunction(X=>0.08869171 - 0.009605255*x0)
7,0.00064183766,2.3004006023030494,exp(-1.0224758 * square(2.0148342 + x0)),exp(-4.1507986414173*(0.496318754168457*x0 + 1)**2),PySRFunction(X=>exp(-4.1507986414173*(0.496318754168457*x0 + 1)**2))
10,0.0006360585,0.003014955142715416,(square(exp(-0.51654047 * square(x0 + 2.0148177))) + 0.0027080777),0.0027080777 + exp(-4.19378212140307*(0.496322818684787*x0 + 1)**2),PySRFunction(X=>0.0027080777 + exp(-4.19378212140307*(0.496322818684787*x0 + 1)**2))
16,0.00063301215,0.0008001539949047753,(exp(-1.0224832 * square(2.0148342 + x0)) + (square(square(square(0.06021086 * x0))) * x0)),1.72742278101024e-10*x0**9 + exp(-4.15082868213802*(0.496318754168457*x0 + 1)**2),PySRFunction(X=>1.72742278101024e-10*x0**9 + exp(-4.15082868213802*(0.496318754168457*x0 + 1)**2))
18,0.000629658,0.002656400715164437,(exp(-1.0224832 * square(2.0148342 + x0)) + ((square(square(square(0.06021086 * x0))) * 0.6418157) * x0)),1.10868706139003e-10*x0**9 + exp(-4.15082868213802*(0.496318754168457*x0 + 1)**2),PySRFunction(X=>1.10868706139003e-10*x0**9 + exp(-4.15082868213802*(0.496318754168457*x0 + 1)**2))
